"1"	"Mercedes-AMG GT R Black Series Spied Testing With Lots Of Sensors"	"autossports"	"There are multiple body configurations on the vehicles in this clip."
"0"	"How Google Interferes With Its Search Algorithms and Changes Your Results"	"finance-companies"	"Pressed by businesses, interest groups and governments, the internet giant uses blacklists, algorithm tweaks and an army of contractors to shape what you see."
"1"	"Deer fatally attacks hunter who shot him"	"newsus"	"In what officials are calling a bizarre incident, an Arkansas hunter was killed by a deer that he thought he had killed."
"0"	"High tides surge through Venice, locals rush to protect art"	"weathertopstories"	"Exceptionally high tidal waters surged through Venice again on Friday, prompting the mayor to close St. Mark's Square and call for more donations for repairs just three days after the Italian lagoon city suffered its worst flooding in 50 years."
"1"	"Korean Pop Star Sulli Dies at 25"	"musicnews"	"Korean pop star Sulli was found dead at her home near Seoul on Monday. She was 25. Her manager found her body and alerted the police. The manager reported that the star, whose real name was Choi Jin-ri, suffered from depression, and police said that they were working on the assumption that she had died"
"1"	"Here Are the Biggest Deals We're Anticipating for Black Friday"	"shop-holidays"	"The Black Friday deals for 2019 have already begun leaking out. Get a sneak peek at what to expect from popular retailers like Costco, Walmart, and Best Buy. Browse our guide and use it to plan your attack for the biggest shopping event of the year."
"0"	"The Unlikely Star of My Family's Thanksgiving Table"	"recipes"	"It's hard to remember life before broccoli cheese rice casserole. Or, B.B.C.R.C.E. (Before Broccoli Cheese Rice Casserole Era). What did the Kim clan have to look forward to every Thanksgiving before the cheesy family-favorite side dish entered our lives? Stuffing, maybe. Green bean casserole. Macaroni and cheese. Ham in cola, a quirky recipe from Nigella Lawson that she picked up from the American South. Certainly nothing from the Korean..."
"1"	"Airline Apologizes After False Hijack Alarm Causes Dozens of Flight Delays"	"travelnews"	""Nothing has happened, all passengers are safe and sound waiting to fly soon. We deeply apologize.""
"0"	"Read: Marie Yovanovitch's testimony at today's impeachment hearings"	"newspolitics"	"Former U.S. Ambassador to Ukrane Marie Yovanovitch is testifying to the House Intelligence Committee Friday."
"0"	"Russian Law Sets To Improve Animal Welfare By Shutting Down Petting Zoos"	"animals"	"An upcoming Russian law is set to shut down petting zoos in malls in an effort to stop animal cruelty, but the crackdown might leave some animals displaced. Veuer's Mercer Morrison has the story."
"1"	"Family wins Halloween with Fyre Festival-themed costumes"	"lifestylebuzz"	"Since 2016, Rachel and Matt have been dolling up their 5-year-old daughter, Jada, as different pop culture figures, which have taken the internet by storm due to the spot-on costume design and clever photo editing by Rachel, who runs RaeTay Photography. Matt Taylor and his daughter Jada in their Narcos-inspired Halloween costumes."
"1"	"Granny Pods and 7 More Clever Ways to Earn Income From Your Property"	"finance-real-estate"	"You might be surprised at how much money you could make off your property."
"1"	"Millennials, Gen Xers to baby boomers: Can you retire so I can get a job promotion?"	"finance-career-education"	"Baby boomers are putting off retirement and that may be making it harder for millennials and Gen Xers to get promoted: USA TODAY/LinkedIn survey."
"0"	"How to Watch the Leonid Meteor Shower This Weekend"	"science"	"Look up this weekend to catch shooting stars radiating from the constellation Leo."
"1"	"Doctors Want FDA To Warn Women About Cheese And Breast Cancer Link"	"medical"	"Up to 12,000 members of Physicians Committee for Responsible Medicine agreed that the federal government should add label to cheese products that would warn women about the risk of having breast cancer."
"1"	"Meet the 2 Americans who were chosen from a pool of 140,000 people to spend 10 days on a mini-sabbatical in Antarctica with Airbnb this winter"	"travelnews"	"Tynthia King and Spencer Ingley are among the five people chosen from an applicant pool of 140,000 to travel to Antarctica with Airbnb this December."
"0"	"Kate Middleton Shows Off Motherly Side as She Bonds with Families at Opening of Children's Hospice"	"lifestyleroyals"	"Kate Middleton Celebrates Opening of Children's Hospice"
"1"	"Amtrak Launches 50-Percent Off Fall Getaway Flash Sale"	"travelnews"	"The deal ends Wednesday."
"0"	"At NATO summit, Trump to stress US allies' defense spending"	"newsworld"	"President Donald Trump will try to convince U.S. allies that they should increase defense spending when he attends a meeting of NATO leaders next month in London, the White House said Friday."
