"1"	"41 Heartwarming Photos That Will Restore Your Faith in Humanity"	"causes"	"These true stories might make your heart swell three times bigger."
"1"	"Internal NOAA emails detail blowback to Trump hurricane claims: 'This has really gotten out of hand'"	"newsus"	""These are getting very personal," a top NOAA official said of an angry email he received."
"1"	"Elizabeth Warren's Days Defending Big Corporations"	"markets"	"Elizabeth Warren had never taken on the federal government before. But in 1995, she found herself up against the Clinton administration, representing the Cleveland-based conglomerate LTV Steel. Even though LTV had sold off its coal mines during the 1980s, a new law required it to contribute to a health fund for retired miners. LTV believed that it should not have to pay. Those claims, the company said, should have been handled as part of its..."
"1"	"America shockingly owes over $6 trillion to these countries"	"markets"	"In 2019 America's debt surpassed $22 trillion for the first time ever, as debt has climbed dramatically in the years following 2008's financial crisis. But who owns it? US debt can be bought by anyone through treasury securities (bills, notes or bonds), which represent an IOU from the government to the investor. The US then pays interest every year to service the debts. While much of America's debt is owed domestically, foreign investors hold more than $6 trillion, both through central banks and private funds."
"1"	"McConnell, McCarthy not notified ahead of Baghdadi raid"	"newspolitics"	"The top two Republicans on Capitol Hill say they were not notified by the administration ahead of the weekend raid that led to the death of ISIS leader Abu Bakr al-Baghdadi. Senate Majority Leader Mitch McConnell (R-Ky.) and House Minority Leader Kevin McCarthy (R-Calif.) separately told reporters on Monday that they were not given a heads up - a day after Democrats criticized President Trump for failing to notify them. "I wasn't, but I...""
"1"	"Trump reversed course on hosting G-7 at his club after learning that impeachment-weary Republicans were tired of defending him"	"newspolitics"	"From the moment the White House announced that President Trump had decided to hold the 2020 Group of Seven summit at his golf resort, it became inextricably linked with his possible impeachment."
"1"	"Four flight attendants were arrested in Miami's airport after bringing in thousands in cash, police say"	"newscrime"	"Four American Airlines flight attendants were arrested at the Miami International Airport and charged with money laundering after bringing large amounts of cash into the country, police said."
"1"	"Trump Seethes After NY Judge Orders Him to Pay $2 Million For Misusing Charitable Funds: 'No Wonder Why We Are All Leaving!'"	"newspolitics"	"President Donald Trump is blasting the ruling handed down by a New York judge that he must cough up $2 million to settle a case which alleged that the president used his charitable foundation to advance his 2016 campaign. New York Supreme Court Justice Salliann Scarpulla ordered Trump to pay the settlement, saying, "Mr. Trump's […]""
"0"	"The most talked about movie moments of the 2010s"	"movies-gallery"	"Let's try to emphasize the positive, but there's one particular sequence that was so special in its awfulness, it had to go on this list. See if you can guess which one it is."
"1"	"New York Senator Chuck Schumer Mocks Trump Making Florida His New Home, Donald Jr. Fires Back"	"newspolitics"	""New York, New York. If you can make it there, you can make it anywhere... Trump can't," Schumer tweeted."
"1"	"There are doubts about China's promise to purchase more US farm products"	"markets"	"President Trump said China promised to increased their purchase of U.S. farm goods, but the details of the agreement are causing concerns."
"0"	"THEN AND NOW: What all your favorite '90s stars are doing today"	"celebrity"	"These heartthrobs and fan favorites made the 1990s one of the best decades of the century. Here's what they're up to now."
"1"	"Megyn Kelly and Rose McGowan selfie sparks speculation: 'Brainstorming'"	"celebrity"	"The newswoman shared a photo of herself taking a selfie with McGowan on Friday. Kelly, who hasn't yet landed anywhere after abruptly leaving NBC last year, has been using her platform as of late to speak out against sexual harassment and non-disclosure agreements."
"1"	"The 46 people who are as rich as half the world's population"	"markets"	"The 2018 Global Wealth Report from Credit Suisse revealed that total global wealth has now reached $317 trillion. However, this wealth is far from equally distributed."
"1"	"Simone Biles breaks gymnastics worlds medals record, gets 5 golds this week"	"more_sports"	"Simone Biles finishes her likely last world championships as the all-time medal leader."
"0"	"An ambassador fired: What to watch on Day 2 of impeachment"	"newspolitics"	"An ambassador, her firing and a pair of fixers. Those details stand at the center of Marie Yovanovitch's story, a personal ordeal she is describing to Americans and the world Friday as part of the Democrat-driven impeachment inquiry against President Donald Trump."
"1"	"A terrible pandemic is killing pigs around the world, and US pork producers fear they could be hit next"	"markets"	"U.S. authorities have started active preparations in response to the rising threat of an outbreak of African swine fever."
"1"	"US believes reports Turkey misused US-supplied weapons in Syria incursion are 'credible'"	"newsworld"	"The US is investigating whether Turkey violated agreements with Washington about the use of US-provided weapons and equipment, including whether Ankara improperly transferred US-supplied weapons to its proxies in Syria, groups that some US officials say may have committed war crimes as part of the Turkish-led incursion targeting America's Kurdish allies."
"1"	"'Dancing With the Stars': Sean Spicer still dancing with Trump support"	"tvnews"	"The former White House spokesman has gone from "Dancing With the Stars" controversy to a power contestant. He explains the smiles and the spray tan."
"1"	"Trump wanted Barr to hold news conference saying the president broke no laws in call with Ukrainian leader"	"newspolitics"	"The attorney general ultimately did not do so, and the president has mentioned that to associates in recent weeks."
"1"	"Winners, losers from Patriots' shutout win over Jets on Monday Night Football"	"football_nfl"	"The New York Jets hosted the New England Patriots to cap off NFL Week 7 on Monday Night Football, but unfortunately, this game was over before it began."
"1"	"Pentagon planning to pull all US troops from Syria in coming weeks, officials say"	"newsworld"	"The Pentagon is accelerating plans to get all American troops out of Syria in the coming days and weeks, two U.S. officials tell Fox News."
"0"	"Here's What It Means If You Have Ridges on Your Nails"	"medical"	"They don't make for the prettiest of manicures, but are they something more than a cosmetic problem?"
