"0"	"2019 Los Angeles Auto Show Preview"	"autoslosangeles"	"Get ready for the 2019 Los Angeles Auto Show"
"1"	"Duchess Meghan Returns to Public Eye After Africa Tour Documentary Airs"	"lifestyleroyals"	"The Duchess of Sussex attends the One Young World summit in London, where 2,000 young people have gathered to tackle global issues."
"1"	"Celebs celebrate Halloween 2019"	"entertainment-celebrity"	"Here's how the stars dressed up while celebrating Halloween this year!"
"1"	"25 awesome gifts men actually want this year"	"shop-holidays"	"By clicking one of our links you're supporting our labs and our independence, as we may earn a small share of revenue. Recommendations are separate from any business incentives. Shopping for guys can be tricky business. Though "traditional" men's gifts think neckties and whiskey stones seem like safe bets, in truth, men have a wide variety of tastes and those "safe" gifts rarely get real use. This year, we've got you covered with the best gift..."
"1"	"Kyoto's Gion neighborhood cracks down on photography"	"travelnews"	"Kyoto's historic Gion neighborhood is banning photography in certain areas in response to ongoing issues with bad tourist behavior."
"0"	"Here's What It Means If You Have Ridges on Your Nails"	"medical"	"They don't make for the prettiest of manicures, but are they something more than a cosmetic problem?"
"0"	"Our All-Time Best Christmas Cookie Recipes"	"recipes"	"Bake up batches of these festive beauties, and our all-time best Christmas cookie recipes will quickly become yours, too. The post Our All-Time Best Christmas Cookie Recipes appeared first on Taste of Home."
"1"	"A part of Windsor Castle that's been closed to the public for over 150 years just reopened   and it's been completely revamped. Take a peek inside."	"lifestyleroyals"	"Windsor Castle has been a royal residence for over 900 years. The Inner Hall is in a part of the castle that dates back to the mid-14th century."
"0"	"The world's most profitable company is about to go public"	"finance-companies"	"The oil company that made Saudi Arabia rich is going public. Some say the timing couldn't be worse."
"1"	"Chrissy Teigen Gushes Over John Legend After He Misses His Flight to be With Her"	"music-celebrity"	"Grab the tissues! This is a story straight out of a romantic comedy."
"1"	"Celebrity Headshots from Before They Were Famous"	"celebrity"	"Prepare for some straight-up baby faces."
"1"	"Joe Biden reportedly denied Communion at a South Carolina church because of his stance on abortion"	"newspolitics"	"Joe Biden has a complicated history with the Catholic Church."
"0"	"How to Watch the Leonid Meteor Shower This Weekend"	"science"	"Look up this weekend to catch shooting stars radiating from the constellation Leo."
"0"	"Cows swept away by Hurricane Dorian found alive   but how?"	"lifestylebuzz"	"A trio of wild cows believed to have been swept away by the storm surge from Hurricane Dorian have been found on a nearby island in North Carolina"
"1"	"Julia Roberts Celebrates Her 52nd Birthday with a Little Western Flair: 'Yeehaw'"	"movies-celebrity"	"Julia Roberts Celebrates Her 52nd Birthday: 'Yeehaw'"
"1"	"Your weekly horoscope: October 28th - November 3rd"	"lifestylehoroscope"	"Find out what's in store for you this upcoming week and make it a great one!"
